Gene	0h	1h	2h	4h	5h	6h	8h	10h	12h
MAR_ORF001	4668	2879	882	170	142	153	137	232	137
MAR_ORF002	21	53	281	127	47	74	43	97	51
MAR_ORF003	131	606	565	61	22	0	16	17	13
MAR_ORF004	345	5119	5491	401	368	395	250	346	333
MAR_ORF005	6747	4644	729	454	527	472	604	304	412
MAR_ORF006	28	254	257	145	99	222	165	198	238
MAR_ORF007	305	5006	10039	191	196	362	158	91	142
MAR_ORF008	54	1688	721	40	27	41	48	23	27
MAR_ORF009	729	3301	1687	164	168	89	101	202	79
MAR_ORF010	778	10999	15424	766	740	562	613	1164	1190
MAR_ORF011	0	26	171	204	47	0	60	124	43
MAR_ORF012	20	69	116	83	46	47	39	58	45
MAR_ORF013	19404	20590	12465	454	484	455	388	725	415
MAR_ORF014	66374	22286	2559	98	84	17	59	53	62
MAR_ORF015	210	834	366	401	602	754	455	294	151
MAR_ORF016	137	560	264	79	54	22	32	42	0
MAR_ORF017	179	1990	2826	1092	1172	1545	1354	1634	1501
MAR_ORF018	55	954	1250	62	94	103	99	115	106
MAR_ORF019	10079	6384	351	59	89	119	161	286	300
MAR_ORF020	482	178	941	2713	4828	5424	9016	12995	7710
