	MAR_ORF001	MAR_ORF002	MAR_ORF003	MAR_ORF004	MAR_ORF005	MAR_ORF006	MAR_ORF007	MAR_ORF008	MAR_ORF009	MAR_ORF010	MAR_ORF011	MAR_ORF012	MAR_ORF013	MAR_ORF014	MAR_ORF015	MAR_ORF016	MAR_ORF017	MAR_ORF018	MAR_ORF019	MAR_ORF020
MAR_ORF001	0.00	3.57	2.72	-0.47	-0.66	2.55	-0.81	1.82	0.53	-1.78	3.80	4.17	-2.56	-3.28	1.21	2.98	-0.50	1.73	-0.92	-2.24
MAR_ORF002	-3.57	0.00	-0.85	-4.04	-4.23	-1.02	-4.38	-1.75	-3.04	-5.34	0.23	0.60	-6.12	-6.85	-2.36	-0.58	-4.07	-1.84	-4.49	-5.80
MAR_ORF003	-2.72	0.85	0.00	-3.19	-3.38	-0.17	-3.53	-0.90	-2.19	-4.49	1.08	1.45	-5.27	-6.00	-1.51	0.27	-3.22	-0.99	-3.64	-4.95
MAR_ORF004	0.47	4.04	3.19	0.00	-0.19	3.02	-0.34	2.29	1.00	-1.30	4.27	4.64	-2.09	-2.81	1.68	3.45	-0.03	2.20	-0.45	-1.76
MAR_ORF005	0.66	4.23	3.38	0.19	0.00	3.21	-0.15	2.48	1.19	-1.11	4.46	4.83	-1.89	-2.62	1.87	3.65	0.16	2.39	-0.26	-1.57
MAR_ORF006	-2.55	1.02	0.17	-3.02	-3.21	0.00	-3.36	-0.73	-2.02	-4.33	1.25	1.62	-5.11	-5.83	-1.34	0.43	-3.05	-0.82	-3.47	-4.79
MAR_ORF007	0.81	4.38	3.53	0.34	0.15	3.36	0.00	2.63	1.34	-0.97	4.61	4.98	-1.75	-2.47	2.02	3.79	0.31	2.54	-0.11	-1.43
MAR_ORF008	-1.82	1.75	0.90	-2.29	-2.48	0.73	-2.63	0.00	-1.29	-3.59	1.98	2.35	-4.37	-5.10	-0.61	1.17	-2.32	-0.09	-2.74	-4.05
MAR_ORF009	-0.53	3.04	2.19	-1.00	-1.19	2.02	-1.34	1.29	0.00	-2.31	3.27	3.64	-3.09	-3.81	0.68	2.45	-1.03	1.20	-1.45	-2.76
MAR_ORF010	1.78	5.34	4.49	1.30	1.11	4.33	0.97	3.59	2.31	0.00	5.58	5.95	-0.78	-1.51	2.99	4.76	1.28	3.51	0.85	-0.46
MAR_ORF011	-3.80	-0.23	-1.08	-4.27	-4.46	-1.25	-4.61	-1.98	-3.27	-5.58	0.00	0.37	-6.36	-7.08	-2.59	-0.82	-4.30	-2.07	-4.72	-6.04
MAR_ORF012	-4.17	-0.60	-1.45	-4.64	-4.83	-1.62	-4.98	-2.35	-3.64	-5.95	-0.37	0.00	-6.73	-7.45	-2.96	-1.19	-4.67	-2.44	-5.09	-6.40
MAR_ORF013	2.56	6.12	5.27	2.09	1.89	5.11	1.75	4.37	3.09	0.78	6.36	6.73	0.00	-0.73	3.77	5.54	2.06	4.29	1.64	0.32
MAR_ORF014	3.28	6.85	6.00	2.81	2.62	5.83	2.47	5.10	3.81	1.51	7.08	7.45	0.73	0.00	4.49	6.27	2.78	5.01	2.36	1.05
MAR_ORF015	-1.21	2.36	1.51	-1.68	-1.87	1.34	-2.02	0.61	-0.68	-2.99	2.59	2.96	-3.77	-4.49	0.00	1.77	-1.71	0.52	-2.13	-3.44
MAR_ORF016	-2.98	0.58	-0.27	-3.45	-3.65	-0.43	-3.79	-1.17	-2.45	-4.76	0.82	1.19	-5.54	-6.27	-1.77	0.00	-3.48	-1.25	-3.91	-5.22
MAR_ORF017	0.50	4.07	3.22	0.03	-0.16	3.05	-0.31	2.32	1.03	-1.28	4.30	4.67	-2.06	-2.78	1.71	3.48	0.00	2.23	-0.42	-1.74
MAR_ORF018	-1.73	1.84	0.99	-2.20	-2.39	0.82	-2.54	0.09	-1.20	-3.51	2.07	2.44	-4.29	-5.01	-0.52	1.25	-2.23	0.00	-2.65	-3.96
MAR_ORF019	0.92	4.49	3.64	0.45	0.26	3.47	0.11	2.74	1.45	-0.85	4.72	5.09	-1.64	-2.36	2.13	3.91	0.42	2.65	0.00	-1.31
MAR_ORF020	2.24	5.80	4.95	1.76	1.57	4.79	1.43	4.05	2.76	0.46	6.04	6.40	-0.32	-1.05	3.44	5.22	1.74	3.96	1.31	0.00
