Context_pos_p6_H10_S239_mouse2	Context_pos_p6_J4_S279_mouse2	Context_pos_p6_F18_S201_mouse2	Context_pos_p6_F8_S191_mouse2	Context_pos_p6_G8_S214_mouse2	Context_pos_p6_G6_S212_mouse2	Context_pos_p6_I7_S259_mouse2	Context_pos_p6_G3_S209_mouse2	Context_pos_p16_A18_S58_mouse3	Context_pos_p16_A15_S55_mouse3	Context_pos_p16_N11_S50_mouse3	Context_neg_p17_G12_S258_mouse3	Context_pos_p16_L2_S295_mouse3	Context_pos_p16_B6_S69_mouse3	Context_pos_p16_B10_S73_mouse3	Context_pos_p16_N9_S48_mouse3	Context_pos_p16_K13_S283_mouse3	Context_pos_p16_J12_S259_mouse3	Context_pos_p16_L7_S300_mouse3	Context_pos_p16_M16_S32_mouse3	Context_pos_p16_K6_S276_mouse3	Context_pos_p16_L18_S11_mouse3	Context_pos_p16_E21_S153_mouse3	Context_pos_p16_N17_S56_mouse3	Context_pos_p16_K3_S273_mouse3	Context_pos_p16_M8_S24_mouse3	Context_pos_p16_F8_S163_mouse3	Context_pos_p16_I8_S232_mouse3	Context_pos_p16_L16_S9_mouse3	Context_pos_p16_G11_S189_mouse3	Context_pos_p16_L17_S10_mouse3	Context_pos_p16_F15_S170_mouse3	Context_neg_p17_L12_S73_mouse3	Context_pos_p16_O8_S70_mouse3	Context_pos_p16_P3_S88_mouse3	Context_pos_p16_N13_S52_mouse3	Context_pos_p16_H14_S215_mouse3	Context_pos_p16_M21_S37_mouse3	Context_pos_p16_O10_S72_mouse3	Context_pos_p16_C16_S102_mouse3	Context_pos_p16_H12_S213_mouse3	Context_pos_p16_A17_S57_mouse3	Context_pos_p16_J14_S261_mouse3	Context_p4_H20_pos_mouse4	Context_p4_N18_pos_mouse4	Context_p4_L13_pos_mouse4	Context_p4_M20_pos_mouse4	Context_p4_H15_pos_mouse4	Context_p4_J14_pos_mouse4	Context_p4_K19_pos_mouse4	Context_p4_E19_pos_mouse4	Context_p4_C23_pos_mouse4	Context_p4_D11_neg_mouse4	Context_p4_N16_pos_mouse4	Context_p4_D19_pos_mouse4	Context_p4_N13_pos_mouse4	Context_p4_L21_pos_mouse4	Context_p4_O21_pos_mouse4	Context_p4_O23_pos_mouse4	Context_p4_O16_pos_mouse4	Context_p4_B15_pos_mouse4	Context_p4_J21_pos_mouse4	Context_p4_K22_pos_mouse4	Context_p4_C14_pos_mouse4
5	1	1	19	1	0	32	7	2	9	55	0	2	2	88	3	0	8	0	0	0	0	2	0	19	8	0	0	2	8	10	0	0	87	13	0	0	9	0	0	1	8	0	0	4	4	2	3	1	2	0	0	0	12	0	0	0	0	0	30.0	4	0.0	2	3
1560	879	1015	115	636	630	110	1059	732	264	1630	880	393	584	748	122	1157	702	531	717	780	483	194	385	673	1326	863	90	440	556	987	406	633	682	67	360	361	735	105	1045	363	88	512	1775	2000	2000	1756	2000	1539	310	409	377	383	2000	489	1936	1455	2000	437	1175.0	1793	695.0	1780	2000
2000	2000	2000	2000	528	1770	366	1855	1717	1801	1290	371	1608	1517	1442	62	1965	579	1079	598	1560	570	468	1115	837	1414	912	89	599	725	1427	455	547	1017	1542	652	456	504	238	1948	598	749	851	1124	1464	1916	2000	895	232	164	454	1016	1446	1406	614	1779	2000	733	2000	2000.0	1432	1535.0	969	812
2000	2000	2000	1092	385	1580	470	1811	1471	1903	1539	503	1649	2000	1988	68	2000	805	1504	839	1829	685	667	1131	1001	1481	789	143	703	1085	1151	576	532	1624	1104	840	728	1260	318	2000	782	871	1023	1133	1378	1391	2000	1074	455	228	515	681	747	1575	554	1724	2000	829	1950	2000.0	1577	1318.0	596	1170
743	2000	2000	704	546	1499	299	1560	604	1152	568	257	921	1322	754	44	1836	220	765	297	1145	427	487	1139	386	891	389	71	244	266	544	350	288	319	1134	832	452	781	247	1684	337	667	740	1059	977	532	1281	675	448	140	223	903	241	555	432	820	943	409	1557	1703.0	814	1005.0	464	825
285	165	1	0	55	32	2	4	30	34	42	196	34	78	287	13	191	37	215	48	184	28	32	57	4	110	88	5	116	123	193	71	91	116	3	15	52	31	9	202	8	2	124	215	131	405	53	257	192	32	127	30	0	256	63	457	55	201	11	54.0	535	65.0	77	179
2	197	0	0	46	0	32	0	45	115	176	87	46	324	0	0	175	126	291	86	156	36	0	0	335	171	155	8	0	40	144	33	0	96	0	0	45	31	0	257	105	7	13	11	199	75	357	243	11	24	0	25	144	0	33	120	21	110	31	103.0	217	81.0	68	154
11	3	1	0	0	13	2	0	4	3	1	0	0	5	1	0	2	3	0	1	0	3	1	12	4	9	0	0	3	4	8	0	0	3	4	4	0	1	0	2	0	5	5	0	4	4	2	0	0	1	1	1	6	3	3	1	3	1	2	1.0	3	0.0	1	3
49	58	20	15	2	24	7	13	35	37	34	17	38	49	50	3	37	25	33	21	40	13	11	35	24	32	25	1	18	25	27	10	15	28	25	19	20	22	6	28	21	22	24	4	11	12	16	11	6	1	4	12	1	7	9	9	13	5	16	22.0	4	10.0	2	11
0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0.0	0	0.0	1	0
0	0	0	0	0	0	0	0	0	10	36	5	164	0	0	0	0	14	0	0	0	16	0	0	0	36	27	0	0	9	0	0	0	102	0	0	0	0	0	24	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0.0	0	0
0	1	2	0	0	7	0	0	0	3	0	1	0	1	0	0	1	4	0	1	0	0	0	0	5	0	0	0	0	2	0	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	1	5.0	2	0
4	3	5	5	0	1	0	2	8	7	6	1	2	9	4	1	6	6	6	1	3	2	2	6	11	3	4	0	6	3	6	4	1	9	4	1	2	6	0	6	5	7	6	0	0	1	7	0	0	0	0	2	0	1	2	1	2	4	0	2.0	3	0.0	3	2
0	1	3	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	3	0	0	2	0	0	0	0	0	0	1	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	2	0	0.0	1	0.0	0	1
0	12	1	0	1	16	2	11	19	7	4	1	7	13	11	0	20	8	7	9	14	3	2	4	5	11	6	2	5	3	6	2	8	12	4	8	9	2	5	23	6	2	8	7	8	10	11	2	4	0	5	2	0	5	5	9	10	7	5	15.0	5	4.0	5	6
0	5	0	1	0	0	1	2	0	0	0	1	1	0	6	0	5	5	1	3	2	2	1	1	1	2	0	0	2	2	2	1	2	0	0	3	0	0	1	6	3	0	3	1	1	0	2	1	4	0	1	1	3	2	0	0	0	0	0	2.0	0	0.0	1	1
0	43	0	0	0	37	8	0	17	47	21	0	13	0	2	0	28	0	0	14	24	1	0	11	13	0	14	0	56	22	32	0	3	20	16	65	6	19	0	135	0	20	26	10	28	12	8	0	26	5	0	0	0	31	2	25	0	46	0	0.0	63	0.0	42	45
0	1	4	0	0	1	0	0	0	0	1	1	1	6	0	0	0	2	3	2	0	2	0	1	1	0	3	0	3	2	3	0	0	0	1	0	0	1	0	0	1	0	5	0	0	0	3	2	0	1	0	0	0	0	0	1	0	1	0	0.0	0	0.0	0	1
0	6	0	0	0	20	2	15	6	79	69	22	13	236	102	7	48	121	0	25	0	82	3	27	109	126	118	9	96	4	117	36	83	22	18	47	28	62	5	91	48	38	14	0	83	206	16	41	0	9	22	15	0	51	23	0	4	0	6	0.0	143	8.0	0	67
867	139	377	97	29	149	74	118	321	222	227	179	90	334	335	30	247	111	301	207	345	152	54	184	84	289	156	16	139	351	432	146	123	210	63	169	134	129	13	418	262	85	189	491	628	630	353	517	114	55	159	228	221	693	134	367	349	396	229	269.0	597	226.0	363	378
14	5	2	3	2	2	0	1	5	2	0	0	6	9	7	0	5	5	2	2	0	1	0	4	3	1	0	0	0	0	2	1	2	0	6	0	0	2	1	1	2	0	0	0	0	1	1	0	0	0	0	0	8	4	4	1	3	0	6	5.0	0	0.0	0	1
0	184	194	40	1	5	27	53	42	3	15	77	37	113	105	12	126	46	44	53	102	20	6	15	38	136	78	2	69	16	58	45	163	4	50	53	66	11	23	208	87	7	17	131	434	471	54	333	148	53	98	15	233	436	156	324	17	313	25	30.0	391	99.0	426	503
1078	536	595	0	549	376	63	316	330	126	515	122	295	455	335	47	399	158	368	192	804	112	114	280	194	144	285	17	199	169	287	157	237	371	30	109	199	160	56	392	130	64	267	267	957	679	596	492	280	52	147	213	168	698	285	842	789	487	164	779.0	676	321.0	730	1003
23	55	9	17	4	54	21	47	84	51	41	47	38	127	39	8	108	44	45	31	183	43	50	61	101	81	43	1	74	70	109	21	19	84	25	18	43	41	9	102	51	24	66	92	108	138	108	85	42	21	47	145	0	70	2	60	112	126	46	161.0	125	56.0	73	93
0	3	0	6	0	4	0	0	13	0	3	11	8	7	11	2	8	4	8	2	4	5	4	2	2	6	21	0	6	4	6	1	13	2	1	3	3	4	0	7	6	1	6	10	7	15	4	12	3	2	0	4	0	11	0	7	3	9	2	9.0	20	0.0	5	8
